Filename,Emotion
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd180_36_Caucasian_male_angry_frontal.jpg,angry
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd180_58_Caucasian_female_sad_left.jpg,sad
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd000_27_Caucasian_female_disgusted_right.jpg,disgusted
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_19_Caucasian_female_contemptuous_right.jpg,contemptuous
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_14_Caucasian_female_surprised_right.jpg,surprised
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_20_Caucasian_male_happy_right.jpg,happy
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd180_33_Caucasian_male_sad_frontal.jpg,sad
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd045_23_Caucasian_male_happy_left.jpg,happy
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd045_27_Caucasian_female_neutral_left.jpg,neutral
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd000_27_Caucasian_female_disgusted_frontal.jpg,disgusted
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_09_Caucasian_male_angry_left.jpg,angry
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd045_14_Caucasian_female_contemptuous_right.jpg,contemptuous
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd090_05_Caucasian_male_neutral_left.jpg,neutral
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_57_Caucasian_female_disgusted_right.jpg,disgusted
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd180_19_Caucasian_female_sad_right.jpg,sad
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd000_24_Caucasian_male_angry_frontal.jpg,angry
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd090_21_Caucasian_male_disgusted_right.jpg,disgusted
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_28_Caucasian_male_surprised_left.jpg,surprised
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd045_03_Caucasian_male_sad_left.jpg,sad
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd045_61_Caucasian_female_sad_left.jpg,sad
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd090_20_Caucasian_male_fearful_right.jpg,fearful
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd135_22_Caucasian_female_contemptuous_right.jpg,contemptuous
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd090_18_Caucasian_female_contemptuous_left.jpg,contemptuous
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd090_58_Caucasian_female_contemptuous_frontal.jpg,contemptuous
RafDDownload-C5812604F538F8BB73985B0C529BAFA1/Rafd180_49_Caucasian_male_disgusted_frontal.jpg,disgusted
